CryoSleep,Cabin,Age,VIP,Transported,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Num,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S
False,B/0/P,39.0,False,False,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
False,F/0/S,24.0,False,True,109.0,9.0,25.0,549.0,44.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
False,A/0/S,58.0,True,False,43.0,3576.0,0.0,6715.0,49.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
False,A/0/S,33.0,False,False,0.0,1283.0,371.0,3329.0,193.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
False,F/1/S,16.0,False,True,303.0,70.0,151.0,565.0,2.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
False,F/0/P,44.0,False,True,0.0,483.0,0.0,291.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
False,F/2/S,26.0,False,True,42.0,1539.0,3.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
True,G/0/S,28.0,False,True,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
False,F/3/S,35.0,False,True,0.0,785.0,17.0,216.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
True,B/1/P,14.0,False,True,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
True,B/1/P,34.0,False,True,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
False,B/1/P,45.0,False,True,39.0,7295.0,589.0,110.0,124.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
False,F/1/P,32.0,False,True,73.0,0.0,1123.0,0.0,113.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
False,G/1/S,48.0,False,False,719.0,1.0,65.0,0.0,24.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
False,F/2/P,28.0,False,True,8.0,974.0,12.0,2.0,7.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
False,F/3/P,27.0,False,False,1286.0,122.0,121.5,0.0,0.0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
False,F/4/P,24.0,False,False,0.0,1.0,0.0,0.0,637.0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
True,F/5/P,45.0,False,True,0.0,0.0,0.0,0.0,0.0,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
False,G/0/P,0.0,False,True,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
False,F/6/P,14.0,False,False,412.0,0.0,1.0,0.0,679.0,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
True,E/0/S,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
True,E/0/S,49.0,False,False,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
True,E/0/S,29.0,False,False,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
False,E/0/S,10.0,False,True,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
True,E/0/S,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
False,E/0/S,7.0,False,False,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
False,D/0/P,21.0,False,False,980.0,2.0,69.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
True,C/2/S,62.0,False,True,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
False,F/6/S,15.0,False,False,0.0,225.0,0.0,998.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
False,C/0/P,34.0,False,False,22.0,6073.0,0.0,1438.0,328.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
False,F/8/P,43.0,False,False,1125.0,0.0,136.0,48.0,0.0,8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
False,G/4/S,32.0,False,False,0.0,850.0,81.0,437.0,453.0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
False,F/9/P,47.0,False,True,214.0,0.0,1411.0,0.0,1229.0,9,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
False,F/9/P,2.0,False,True,0.0,0.0,0.0,0.0,0.0,9,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
False,F/9/P,20.0,False,True,543.5,0.0,1750.0,990.0,0.0,9,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
True,D/1/S,28.0,False,True,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
False,D/1/P,23.0,False,False,784.0,964.0,0.0,951.0,0.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
False,F/8/S,15.0,True,False,0.0,492.0,48.0,20.0,401.0,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
False,F/10/S,20.0,False,False,554.0,195.0,0.0,2606.0,0.0,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
True,G/1/P,30.0,False,False,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
True,G/2/P,17.0,False,True,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
False,B/3/P,45.0,False,False,0.0,164.0,45.0,2511.0,855.0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
True,G/3/P,55.0,False,False,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
True,G/3/P,4.0,False,True,0.0,0.0,0.0,0.0,0.0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
True,G/3/P,21.0,False,True,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
False,F/10/P,21.0,False,False,970.0,0.0,180.0,0.0,64.0,10,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
True,F/10/P,19.0,False,True,0.0,0.0,0.0,0.0,0.0,10,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
False,E/1/S,35.0,False,False,790.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
False,E/2/S,56.0,False,False,0.0,112.0,0.0,1379.0,127.0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
False,G/6/S,28.82793046746535,False,False,4.0,0.0,2.0,4683.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
False,F/11/S,25.0,False,True,0.0,0.0,1938.0,0.0,1.0,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
False,A/1/S,2.0,False,True,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
True,A/1/S,38.0,False,True,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
False,A/1/S,27.0,False,True,279.0,605.0,3374.0,286.0,3.0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
True,G/7/S,36.0,False,False,0.0,0.0,0.0,0.0,0.0,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
False,F/12/S,22.0,False,False,45.0,1096.0,148.0,1377.0,1.0,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
False,F/13/S,62.0,False,False,0.0,592.0,0.0,17.0,25.0,13,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
True,F/14/S,15.0,False,True,0.0,0.0,0.0,0.0,0.0,14,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
True,E/3/S,33.0,False,True,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
False,G/6/P,62.0,False,False,1.0,153.0,197.0,0.0,460.0,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
True,G/10/S,0.0,False,True,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
False,G/10/S,18.0,False,True,1.0,258.0,446.0,0.0,0.0,10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
False,F/15/S,21.0,False,False,1946.0,37.0,0.0,0.0,24.0,15,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
False,E/4/S,28.82793046746535,False,False,793.0,0.0,2.0,253.0,0.0,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
False,F/16/S,42.0,False,True,887.0,0.0,9.0,6.0,0.0,16,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
False,F/13/P,19.0,False,False,190.0,0.0,5.0,1.0,726.0,13,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
False,F/14/P,17.0,False,False,16.0,2165.0,0.0,0.0,52.0,14,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
False,F/17/S,14.0,False,False,0.0,1.0,0.0,0.0,1063.0,17,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
False,D/3/P,37.0,False,False,46.0,83.0,738.0,0.0,12.0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
False,C/3/S,42.0,False,True,1.0,8397.0,0.0,0.0,506.0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
False,F/18/S,27.0,False,True,147.0,0.0,1018.0,0.0,0.0,18,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
False,F/15/P,28.0,False,True,14.0,0.0,1295.0,0.0,0.0,15,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
False,C/4/S,38.0,False,False,0.0,5840.0,0.0,321.0,9654.0,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
True,G/13/S,13.0,False,False,0.0,0.0,0.0,0.0,0.0,13,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
False,F/16/P,42.0,False,False,7406.0,0.0,0.0,0.0,0.0,16,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
True,F/16/P,2.0,False,True,0.0,0.0,0.0,0.0,0.0,16,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
