CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Num,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S
False,B/0/P,39.0,False,0.0,0.0,0.0,0.0,0.0,False,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
False,F/0/S,24.0,False,109.0,9.0,25.0,549.0,44.0,True,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
False,A/0/S,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
False,A/0/S,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
False,F/1/S,16.0,False,303.0,70.0,151.0,565.0,2.0,True,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
False,F/0/P,44.0,False,0.0,483.0,0.0,291.0,0.0,True,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
False,F/2/S,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1
False,F/3/S,35.0,False,0.0,785.0,17.0,216.0,0.0,True,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1
True,B/1/P,14.0,False,0.0,0.0,0.0,0.0,0.0,True,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
False,B/1/P,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
False,F/1/P,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
False,G/1/S,48.0,False,719.0,1.0,65.0,0.0,24.0,False,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
False,F/2/P,28.0,False,8.0,974.0,12.0,2.0,7.0,True,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0
False,F/4/P,24.0,False,0.0,1.0,0.0,0.0,637.0,False,1,0,0,1,0,0,4,0,0,0,0,0,1,0,0,1,0
True,F/5/P,45.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0,1,0,0,1,5,0,0,0,0,0,1,0,0,1,0
False,G/0/P,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
False,F/6/P,14.0,False,412.0,0.0,1.0,0.0,679.0,False,1,0,0,1,0,0,6,0,0,0,0,0,1,0,0,1,0
True,E/0/S,1.0,False,0.0,0.0,0.0,0.0,0.0,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
True,E/0/S,49.0,False,0.0,0.0,0.0,0.0,0.0,False,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
False,E/0/S,10.0,False,0.0,0.0,0.0,0.0,0.0,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
False,E/0/S,7.0,False,0.0,0.0,0.0,0.0,0.0,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
False,D/0/P,21.0,False,980.0,2.0,69.0,0.0,0.0,False,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
False,F/6/S,15.0,False,0.0,225.0,0.0,998.0,0.0,False,1,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,1
False,C/0/P,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
False,F/8/P,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,0,0,1,0,0,1,8,0,0,0,0,0,1,0,0,1,0
False,G/4/S,32.0,False,0.0,850.0,81.0,437.0,453.0,False,1,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1
False,F/9/P,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,0,0,1,0,0,1,9,0,0,0,0,0,1,0,0,1,0
False,F/9/P,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0,1,0,0,1,9,0,0,0,0,0,1,0,0,1,0
True,D/1/S,28.0,False,0.0,0.0,0.0,0.0,0.0,True,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
False,D/1/P,23.0,False,784.0,964.0,0.0,951.0,0.0,False,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
False,F/10/S,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,1,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,1
True,G/2/P,17.0,False,0.0,0.0,0.0,0.0,0.0,True,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0
False,B/3/P,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0
True,G/3/P,55.0,False,0.0,0.0,0.0,0.0,0.0,False,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0
True,G/3/P,4.0,False,0.0,0.0,0.0,0.0,0.0,True,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0
True,G/3/P,21.0,False,0.0,0.0,0.0,0.0,0.0,True,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0
False,F/10/P,21.0,False,970.0,0.0,180.0,0.0,64.0,False,0,0,1,0,0,1,10,0,0,0,0,0,1,0,0,1,0
